id,property_id,property_name,city,province,area,state,address,room_count,room_type, tad_review_rating
"1103","726901","Hotel Trinca Residency","Lucknow","Lucknow","'Gomti Nagar'","UttarPradesh","3/544, Vivek Khand, Gomti Nagar, Lucknow","15","Standard Room","3"
"1104","729270","Hotel Lovely Inn","Lucknow","Lucknow","'Railway Station Charbagh'","UttarPradesh","Guru Teg Bahadur Building Above ICICI Bank ,opp. D.A.V college, Aishbagh Road","0","Deluxe Room","0"
"1105","740332","Sri Sankara Residency","Kumbakonam","Kumbakonam","'Near Bus Terminus'","TamilNadu","Near & View Sri Bhanabureswarar Temple, 54/a.Banadurai North Street","6","Standard Room Non AC","3.3"
"1106","1136688","Intercity Guest House","Lucknow","Lucknow","'Gomti Nagar'","UttarPradesh","3/154 Viraj Khand, Opposite Sahara Hospital","12","Deluxe AC Room","2.3"
"1107","1327750","OYO Rooms Bhootnath Market","Lucknow","Lucknow","'Indira Nagar'","UttarPradesh","B-11, Faizabad road, Indira Nagar","13","Standard AC Room","3.3"
"1108","331210","Didi Hotel-Only for Indian Residents","Lucknow","Lucknow","'Kanpur Road'","UttarPradesh","Didi hotel pvt ltd near krishna cinema, Alambagh Lucknow","28","Deluxe Room","3.5"
"1109","723202","Madathil Regency","Kollam","Kollam","'Kollam Beach'","Kerala","NH 47, Kottiyam","22","Deluxe Ac Room","4"
"1110","331250","Hotel Amber","Lucknow","Lucknow","'Railway Station Charbagh'","UttarPradesh","Hotel Amber, Naka Hindola,","70","Executive Room","3"
"1111","708809","OVM Resorts","Kumbakonam","Kumbakonam",,"TamilNadu","Asoor Bye-Pass Rd","0",,"0"
"1112","40874","Hotel Gemini Continental","Lucknow","Lucknow","'Hazratganj'","UttarPradesh","10, Rani Laxmi Bai Marg","60","Superior Double Room","4"
"1113","721826","Hotel Silvete","Lucknow","Lucknow","'Hazratganj'","UttarPradesh","4 A, Rana Pratap Marg,Lucknow,","27","Deluxe Room","4"
"1114","722179","Hotel Ladakh Heaven","Leh","Leh","'Old Fort Road'","JammuandKashmir","Fort Road, Leh, India","18","Standard Double Room","4"
"1115","870824","OYO Rooms Newtown AI Market","Kolkata","Kolkata","'New Town - Rajarhat'","WestBengal","AI-137, Street No. 10, Action area 1A, Newtown,Near Aahirini Market, Rajarhat","15","Standard Room","4.2"
