id,property_id,Toiletries,Bedside Lamp,Luggage Rack,Air Conditioning,Television,Internet / Broadband,Telephone,Refrigerator,Free Wi-Fi,Mini Bar,Room Heater,Writing Desk / Study Table,Wake-Up Call Service
"151","1331266","0","0","0","1","1","0","0","0","1","0","0","0","0"
"152","1330346","0","0","0","1","1","1","1","0","0","0","0","0","0"
"153","1331396","0","0","1","1","1","0","1","0","0","0","0","0","0"
"154","717003","0","0","0","1","1","0","0","0","0","0","0","0","0"
"155","1327444","0","0","0","0","1","0","1","0","0","0","0","0","0"
"156","1353878","0","0","0","0","0","0","0","0","0","0","0","0","0"
"157","707473","0","0","1","1","1","1","1","0","0","1","0","0","0"
"158","924470","0","0","0","1","1","0","0","0","1","0","0","0","0"
"159","386554","0","0","1","0","1","0","1","0","0","0","0","0","0"
"160","329759","0","0","0","0","1","1","1","0","0","0","0","1","0"
"161","1282152","0","0","0","1","1","0","1","0","0","0","0","1","0"
"162","711808","0","0","0","0","1","1","1","0","0","0","0","1","0"
"163","380326","0","0","0","1","1","0","1","0","0","0","0","0","0"
"164","841872","0","0","0","1","0","0","0","0","0","0","0","1","0"
"165","720283","0","0","0","1","1","1","1","0","0","1","0","1","0"
"166","715095","0","0","0","1","0","1","0","1","0","0","0","0","0"
"167","957092","1","0","0","0","0","0","0","0","1","0","0","0","0"
"168","743996","0","0","0","0","1","0","1","0","0","0","0","0","0"
"169","331892","0","0","1","0","0","0","1","0","0","0","0","0","0"
"170","866114","0","0","0","1","1","0","0","0","0","0","0","0","0"
"171","719587","0","0","0","0","1","0","0","0","0","0","0","1","0"
"172","315638","0","0","0","1","1","0","1","0","0","0","0","0","0"
"173","1328012","1","0","0","0","1","0","0","0","0","0","0","0","0"
"174","739692","1","1","0","0","0","0","1","0","0","0","0","0","0"
"175","957240","0","0","0","0","1","0","0","0","0","0","0","0","1"
"176","716870","0","0","1","0","1","1","1","0","0","0","0","0","0"
"177","714890","0","0","0","1","1","1","1","0","0","1","0","1","0"
"178","316017","0","0","0","1","1","1","1","0","0","1","0","0","0"
