id,property_id,rating_count,city
"3531","719339","17","Jaipur"
"3532","719346","55","Kodaikanal"
"3533","719349","86","Kodaikanal"
"3534","719350","14","Chittorgarh"
"3535","719355","27","Gangtok"
"3536","719375","29","Haridwar"
"3537","719383","16","Jaipur"
"3538","719384","40","Kozhikode"
"3539","719390","6","Faridabad"
"3540","719394","336","Daman"
"3541","719444","6","Dwarka"
"3542","719448","10","Kausani"
"3543","719457","2","Kodaikanal"
"3544","719459","47","Lava"
"3545","719460","60","Jaipur"
"3546","719461","74","Kochi"
"3547","719463","11","Kollam"
"3548","719469","151","Lansdowne"
"3549","719478","8","Lucknow"
"3550","719496","2","Chennai"
"3551","719499","144","Kochi"
"3552","719511","21","Jaisalmer"
"3553","719587","34","Kodaikanal"
"3554","719603","2","Kolkata"
"3555","719607","3","Kolkata"
"3556","719608","8","Kochi"
"3557","719611","30","Kochi"
"3558","719612","73","Kochi"
"3559","719613","42","Kochi"
"3560","719629","17","Kochi"
"3561","719630","5","Kochi"
"3562","719631","32","Kumarakom"
"3563","719644","2","Dharamshala"
"3564","719676","31","Indore"
"3565","719738","148","Kochi"
"3566","719784","31","Igatpuri"
"3567","719801","7","Kullu"
"3568","719807","400","Jodhpur"
"3569","719818","9","Gangtok"
"3570","719860","18","Lucknow"
"3571","719861","6","Coimbatore"
"3572","719877","101","Jaipur"
"3573","719878","68","Kolli Hills"
"3574","719879","26","Coorg"
"3575","719881","8","Lucknow"
"3576","719882","21","Coorg"
"3577","719883","19","Lucknow"
"3578","719893","29","Gangtok"
"3579","719894","11","Kurukshetra"
"3580","719899","17","Firozabad"
"3581","719906","5","Eluru"
"3582","719911","8","Kochi"
"3583","719913","23","Jodhpur"
"3584","719914","78","Kochi"
"3585","719921","9","Kochi"
"3586","719930","43","Hyderabad"
"3587","719936","118","Kochi"
"3588","719982","2","Lucknow"
"3589","719994","6","Coimbatore"
"3590","720004","331","Dalhousie"
"3591","720007","8","Dalhousie"
"3592","720010","35","Dharamshala"
"3593","720011","15","Karnal"
"3594","720029","40","Coorg"
"3595","720038","14","Kolkata"
"3596","720079","5","Gaya"
"3597","720084","4","Kochi"
"3598","720094","9","Corbett"
"3599","720098","114","Kochi"
"3600","720101","2","Ludhiana"
"3601","720104","16","Dharamshala"
"3602","720110","45","Kinnaur"
"3603","720114","17","Kurukshetra"
"3604","720118","32","Dharamshala"
"3605","720133","19","Coimbatore"
"3606","720142","12","Kochi"
"3607","720152","105","Kochi"
"3608","720157","99","Kochi"
"3609","720265","3","Coorg"
"3610","720270","10","Kolhapur"
"3611","720271","18","Kolhapur"
"3612","720275","5","Kochi"
"3613","720276","11","Kolhapur"
"3614","720280","16","Coorg"
"3615","720283","14","Kochi"
"3616","720284","10","Coorg"
"3617","720310","19","Kullu"
"3618","720324","54","Lansdowne"
"3619","720325","35","Lansdowne"
"3620","720327","42","Kottayam"
"3621","720337","27","Kota"
"3622","720338","24","Coorg"
"3623","720341","21","Kota"
"3624","720344","11","Kochi"
"3625","720373","60","Kochi"
"3626","720385","69","Kausani"
"3627","720398","17","Kausani"
"3628","720421","14","Kumarakom"
"3629","720457","5","Darjeeling"
"3630","720467","15","Dharamshala"
"3631","720472","15","Gangtok"
"3632","720479","14","Gangtok"
"3633","720482","14","Gangtok"
"3634","720485","3","Kota"
"3635","720489","57","Durgapur"
"3636","720500","6","Kolkata"
"3637","720522","78","Kundapura"
"3638","720531","73","Kovalam"
"3639","720532","267","Jaisalmer"
"3640","720542","219","Kumarakom"
"3641","720544","25","Dwarka"
"3642","720545","38","Dwarka"
"3643","720558","1","Jaipur"
"3644","720566","5","Daman"
"3645","720572","15","Kundapura"
"3646","720573","26","Dwarka"
"3647","720574","9","Dwarka"
"3648","720581","24","Indore"
"3649","720583","25","Coimbatore"
"3650","720600","2","Coimbatore"
"3651","720601","90","Dwarka"
"3652","720604","19","Indore"
"3653","720607","36","Indore"
"3654","720679","1","Jaipur"
"3655","720718","61","Coimbatore"
"3656","720757","2","Coimbatore"
"3657","720758","2","Ganpatipule"
"3658","720859","59","Diglipur"
"3659","721077","7","Goa"
"3660","721080","4","Goa"
"3661","721139","1","Jaipur"
"3662","721158","51","Gandhinagar"
"3663","721161","18","Lansdowne"
"3664","721177","27","Khandala"
"3665","721206","91","Chennai"
"3666","721220","42","Lucknow"
"3667","721224","27","Chennai"
"3668","721239","45","Kolad"
"3669","721240","21","Dhanaulti"
"3670","721378","24","Dwarka"
"3671","721383","9","Lucknow"
"3672","721420","10","Jaisalmer"
"3673","721438","284","Dehradun"
"3674","721458","196","Kanyakumari"
"3675","721463","80","Goa"
"3676","721597","9","Kasauli"
"3677","721600","10","Kanchipuram"
"3678","721603","13","Goa"
"3679","721607","12","Chandigarh"
"3680","721617","31","Kanchipuram"
"3681","721619","17","Kanchipuram"
"3682","721625","5","Jaisalmer"
"3683","721640","7","Jaisalmer"
"3684","721644","12","Jaisalmer"
"3685","721658","20","Jaisalmer"
"3686","721659","8","Jaisalmer"
"3687","721739","180","Jaipur"
"3688","721826","32","Lucknow"
"3689","721961","26","Kolhapur"
"3690","722061","24","Kumarakom"
"3691","722121","19","Katra"
"3692","722123","27","Igatpuri"
"3693","722125","21","Eluru"
"3694","722134","253","Bundi"
"3695","722136","7","Kochi"
"3696","722139","11","Dharamshala"
"3697","722157","41","Dehradun"
"3698","722158","29","Dharamshala"
"3699","722179","18","Leh"
"3700","722198","20","Indore"
"3701","722199","34","Indore"
"3702","722200","130","Ganpatipule"
"3703","722304","2","Gaya"
"3704","722358","46","Jaipur"
"3705","722359","15","Kolhapur"
"3706","722402","14","Lucknow"
"3707","722437","13","Kanchipuram"
"3708","722460","32","Dhanbad"
"3709","722467","16","Kochi"
"3710","722537","9","Kochi"
"3711","722597","14","Dharamshala"
"3712","722598","20","Jaipur"
